,med,lo_68,hi_68,lo_95,hi_95
2021-10-26,42.385416666666664,12.582857142857144,65.95407407407406,3.1239583333333334,85.43214285714281
2021-10-27,44.12142857142857,13.284285714285712,66.25124999999998,3.145192307692308,84.48382352941174
2021-10-28,44.42391304347826,13.713999999999997,66.9525925925926,3.357291666666667,84.7375000000001
2021-10-29,44.230769230769226,13.624347826086957,66.72347826086953,3.519047619047619,85.13999999999994
2021-10-30,44.2890625,12.880000000000003,66.66736842105261,3.29375,85.33970588235292
2021-10-31,44.40196078431372,12.954999999999991,64.05733333333333,3.0912499999999996,83.70576923076926
2021-11-01,44.68115942028986,14.230588235294121,66.94588235294115,2.9729166666666673,84.27352941176473
2021-11-02,43.51176470588235,14.155000000000001,65.75714285714284,4.099264705882353,85.34868421052639
2021-11-03,43.57142857142858,15.324651162790701,66.09806451612899,4.069354838709677,84.04722222222203
2021-11-04,43.487804878048784,15.37170731707317,65.54400000000003,4.245588235294117,83.71842105263168
2021-11-05,43.78313253012048,14.782745098039216,66.5113725490196,3.751923076923077,84.90312499999997
2021-11-06,42.88666666666667,14.044137931034482,64.76093023255815,3.6601851851851857,84.01166666666667
2021-11-07,43.19531249999999,12.471219512195123,64.68177777777778,3.474404761904762,83.21964285714289
2021-11-08,42.778409090909086,12.484516129032258,65.34666666666665,3.466447368421053,84.53369565217392
2021-11-09,42.481707317073166,13.38188679245283,64.63379310344827,3.0131944444444443,83.6973214285714
2021-11-10,42.8659793814433,14.520000000000001,65.54962962962964,3.7281250000000004,84.1421052631579
2021-11-11,43.17619047619047,12.945882352941178,64.95519999999996,3.3455128205128206,83.68854166666661
2021-11-12,43.711111111111116,12.089655172413792,65.74500000000002,3.414893617021277,83.39583333333333
2021-11-13,42.67741935483872,12.20271186440678,64.81207547169815,3.515853658536585,83.09736842105272
2021-11-14,42.94174757281553,10.987596899224805,64.38431372549023,3.565217391304348,83.00000000000011
2021-11-15,42.262499999999996,11.283764705882351,65.03645569620252,3.380084745762712,83.34431818181804
2021-11-16,42.32258064516129,12.365185185185187,64.03562499999998,3.5949999999999998,82.73846153846145
2021-11-17,43.67460317460317,15.071475409836065,64.57239436619716,4.085964912280701,82.31379310344823
2021-11-18,42.63478260869565,11.724761904761907,64.64847058823528,3.498936170212766,82.62749999999996
2021-11-19,42.89622641509433,12.63222222222222,64.5722580645161,3.594791666666667,83.41388888888883
2021-11-20,42.528688524590166,11.600606060606058,65.71081967213115,3.2409482758620687,83.66785714285707
2021-11-21,42.20967741935483,11.586829268292682,63.791746031746,3.58804347826087,81.99772727272722
2021-11-22,41.903846153846146,11.650188679245282,63.92478260869564,3.662352941176471,82.25769230769228
2021-11-23,41.55511811023622,12.178947368421055,62.07012987012987,3.7818627450980387,81.52500000000005
2021-11-24,41.92708333333334,12.998139534883721,63.22809523809525,4.0074218749999995,82.85564516129028
2021-11-25,42.478571428571435,12.858591549295777,63.165274725274735,3.6023076923076927,82.49464285714286
2021-11-26,42.21111111111111,12.349743589743593,63.983376623376614,3.5337962962962965,81.77642857142851
2021-11-27,42.854166666666664,12.71120879120879,63.2142105263158,3.4023255813953486,81.87073170731712
2021-11-28,41.340740740740735,11.67030303030303,61.57733333333333,3.856410256410257,81.34736842105265
2021-11-29,41.66554054054054,11.108148148148148,62.58061855670103,3.4802083333333336,81.4629310344828
2021-11-30,41.55597014925374,11.746666666666666,62.17450549450552,3.7282786885245898,80.91018518518531
2021-12-01,42.00276243093923,13.4919587628866,62.38432989690724,4.023774509803922,81.59531250000005
2021-12-02,41.51874999999999,12.002409638554216,61.979047619047584,3.5984848484848486,81.28846153846142
2021-12-03,41.751612903225805,11.26368,62.23909090909091,3.208076923076923,81.98125000000005
2021-12-04,42.27430555555556,11.8112,62.332558139534896,3.9320652173913047,81.60416666666681
2021-12-05,41.53267973856209,10.984502617801047,61.96423529411762,3.398046875,81.79112903225804
2021-12-06,41.07880434782609,11.703278688524593,62.21980198019803,3.7203125,81.74085365853665
2021-12-07,41.65945945945945,12.615438596491229,62.09944954128438,4.009473684210526,80.91363636363633
2021-12-08,41.19660194174757,13.17121495327103,60.95452991452993,3.858203125,80.33690476190485
2021-12-09,41.347368421052636,12.257857142857144,61.71927272727273,3.6613636363636366,81.23448275862071
2021-12-10,41.585427135678394,12.7121875,63.175126050420175,3.6363888888888893,81.77166666666669
2021-12-11,41.54739336492891,14.419999999999998,61.66198198198197,3.7235,80.74602272727267
2021-12-12,40.22881355932203,12.87655172413793,61.047079646017686,4.005693069306931,80.35872093023248
2021-12-13,39.72362869198312,12.94890510948905,60.69354838709679,3.994158878504673,80.18154761904776
2021-12-14,38.604651162790695,13.056799999999999,59.51657142857138,3.7804123711340205,79.84999999999984
2021-12-15,39.59471365638766,14.354062500000003,60.79911764705881,3.7005555555555554,80.97558139534874
2021-12-16,38.863849765258216,13.703076923076923,60.28102564102564,3.740104166666667,80.07763157894742
2021-12-17,38.845493562231766,13.928965517241382,59.62642857142858,3.6736559139784943,78.97053571428573
2021-12-18,38.13157894736843,13.61950413223141,59.291655629139065,3.6084134615384618,79.57569444444447
2021-12-19,37.42366412213741,14.317027027027029,58.11163398692813,3.705405405405405,78.73095238095246
2021-12-20,35.6527027027027,15.359176954732511,57.048230452674886,4.032661290322581,77.98603896103891
2021-12-21,34.15191740412979,16.48284789644013,55.98409090909088,4.552442528735632,76.97128378378373
2021-12-22,34.846666666666664,16.983543543543544,56.32328075709779,4.756654676258993,76.9428082191782
2021-12-23,35.333780160857906,16.652285012285013,56.0370410958904,4.751934523809524,76.33343749999999
2021-12-24,36.55066079295155,17.09878048780488,56.56633165829144,5.03771551724138,76.71874999999986
2021-12-25,36.894618834080724,17.033397312859886,56.58963730569948,5.04066985645933,77.07142857142856
2021-12-26,35.701130856219706,17.23311392405063,55.937214285714276,5.1787356321839075,76.42276785714289
2021-12-27,36.66118047673098,18.044715284715284,56.75689473684209,5.407000000000001,76.72161016949154
2021-12-28,37.423848878394324,18.30127946127946,57.57161290322578,5.353872053872054,78.23277777777764
